intent,allowedTools,forbiddenTools
alarm,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop,calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create;outlook.folders.list;outlook.mail.send;outlook.message.archive;outlook.message.delete;outlook.message.forward;outlook.message.mark_read;outlook.message.mark_unread;outlook.message.move;outlook.message.read
calendar,calendar.create;calendar.list,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create;outlook.folders.list
camera,camera.capture,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
chat,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
contactSearch,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
emailDraft,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
files,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
health,health.summary,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
maps,location.current;maps.directions;maps.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;mail.draft;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create;outlook.folders.list;outlook.mail.send
memory,memory.recall;memory.save,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create;outlook.folders.list
